HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018
172, Gambia,33.4,5.9,6.6,6,8,9.8,10,8.3,8.4,8.6,6.4,18.9,14.6
61, Georgia,..,8.1,5.6,4.5,4.9,3.7,4,3.8,3.2,3.1,3.2,2.9,3.5
138, Ghana,9.7,10.3,12.4,10.9,5.4,4.7,4.6,2.2,2.2,3.7,2.4,2.2,1.7
74, Grenada,5.2,3.3,3.5,7.9,4.6,1.6,1,1.5,4.8,2.7,0.9,0.6,2.9
127, Guatemala,2.5,1.4,1.4,1,1,0.8,0.6,1,0.5,0.7,0.4,0.5,0.6
178, Guinea,11.6,11.5,5.3,7.3,3.3,3,8.4,5.9,6.6,6.2,6.7,4.6,5.1
175, Guinea-Bissau,54.2,49.8,22.7,11.6,15.3,10.9,8.1,10.3,10.1,8.9,16.3,8.4,10.5
122, Guyana,57,12.7,9.5,12.6,4.7,4.1,4,3.4,5.2,1,2,1.5,2.7
170, Haiti,5.1,23.2,4.6,8.6,43.5,19.9,16,13.5,12.3,11.9,13.4,11.6,10.2
132, Honduras,8.8,7.4,5.8,7,3.1,2.1,3.3,3.7,3.3,2.8,2,2,3
4," Hong Kong, China (SAR)",0.1,0,..,..,..,..,..,..,..,..,..,..,..
131, India,0.4,0.5,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1
107, Indonesia,1.6,0.6,1.1,0.9,0.2,0,0,0,0,0,0,0,0.1
70, Iran (Islamic Republic of),0.1,0.2,0.1,0,0,0,0,0,0,0,0,0,..
123, Iraq,0,..,..,48.6,1.6,1,0.6,0.7,0.6,0.8,1.3,1.5,1
19, Israel,2.4,0.3,..,..,..,..,..,..,..,..,..,..,..
101, Jamaica,6.5,1.9,0.2,0.4,1.1,0.3,0.2,0.5,0.7,0.4,0.2,0.4,0.7
102, Jordan,24.1,8.3,6.4,5.5,3.6,3.4,3.7,4.2,7.5,5.7,7,7.4,6
51, Kazakhstan,..,0.3,1.1,0.4,0.2,0.1,0.1,0,0,0,0.1,0,0
143, Kenya,14.4,8.4,4.1,4,4.1,5.9,5.3,6.1,4.4,3.9,3.2,3.2,2.9
134, Kiribati,39.9,15.9,15.5,16.8,10.4,25.5,22.8,21.3,23.9,18.4,19.1,21.5,20.4
23, Korea (Republic of),0,0,..,..,..,..,..,..,..,..,..,..,..
64, Kuwait,0,0,..,..,..,..,..,..,..,..,..,..,..
120, Kyrgyzstan,..,15.1,15,10,8.3,7.9,7.3,7.8,8.8,12.1,8,6.3,5.2
137, Lao People's Democratic Republic,12.1,14,14.1,9,5.8,4.6,4.3,3.7,3.7,3.4,2.6,3,3.3
92, Lebanon,8.3,1.6,1.1,1.1,1.2,1.2,1.6,1.3,1.7,2,2.2,2.5,2.6
165, Lesotho,14.5,8.4,3.3,3.1,8.5,7.8,8.9,11.1,3.7,3.2,4.6,5.3,5.2
175, Liberia,..,..,8.7,28,77.9,33.5,23,19.4,26.7,37.8,27.3,21.1,20.2
105, Libya,..,..,..,0.1,0,1.8,0.1,0.2,0.5,0.5,0.7,1.1,0.6
164, Madagascar,10.5,8.2,7.2,16,4.9,3.9,3.3,4.1,4.8,6.2,5.4,6.1,5.1
174, Malawi,27.2,32.2,26.3,15.9,14.8,10.1,19.9,21.1,15.8,17.1,23,24.7,18.8
62, Malaysia,1.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0
95, Maldives,8.1,13.8,3.1,6.4,3.9,2,2.2,0.7,0.7,0.6,0.6,1,2.5
184, Mali,18,20.3,9.9,12,10.6,10.1,8.3,10.9,8.8,9.4,8.8,9.1,8.9
28, Malta,0.2,0.3,0.5,..,..,..,..,..,..,..,..,..,..
117, Marshall Islands,..,21.8,31.3,30.6,12.6,40,39.5,41.9,24.2,23,4.8,26.5,19.1
157, Mauritania,16.3,11.4,12.5,6.3,6.7,5.8,6.3,4.2,4.1,5.5,4.9,4.4,6.4
66, Mauritius,3.4,0.6,0.4,0.5,1.3,1.6,1.5,1.1,0.3,0.6,0.3,0.1,0.4
74, Mexico,0.1,0.1,0,0,0,0.1,0,0,0.1,0,0.1,0.1,0
136, Micronesia (Federated States of),..,31.6,40.7,40.5,20.7,40.7,41.8,41.8,34,21.7,13.1,23.5,24
90, Moldova (Republic of),..,..,9.4,5,6.3,5.1,5,3.4,5,3.8,3.1,2.4,1.9
99, Mongolia,0.5,10.7,16.4,7.9,4.3,3.5,3.9,3.6,2.8,2.2,3.2,7.8,2.8
48, Montenegro,..,..,..,0.2,1.9,2.8,2.5,2.6,2.2,2.4,1.9,2.4,2.8
121, Morocco,4.2,1.3,1.2,1.2,1.1,1.4,1.5,1.9,2.1,1.5,2,2.2,0.7
181, Mozambique,..,38.1,16.9,15.8,18.1,14.6,12.7,13.7,12,11.6,13.1,14.1,12.6
147, Myanmar,..,..,1.2,1.2,0.7,0.6,0.9,6.7,2.2,1.8,2.3,2.3,2.3
130, Namibia,4.2,4.6,3.9,1.6,2.4,2.3,2,2.2,1.8,1.3,1.6,1.5,1.2
.., Nauru,..,..,..,..,48.4,46.4,30.3,23.4,17.7,26.4,16.7,16.8,19
142, Nepal,9.8,8.6,5.6,5,4.8,3.9,4,4.5,4.3,5.6,5,5,4.9
128, Nicaragua,33.4,15.1,10.2,10.6,6,5.6,5.2,4.7,3.7,3.7,3.3,4.2,2.8
189, Niger,11,12,9.4,12,9.6,7.5,9.7,8,8.6,9.1,9.4,11.1,9.5
161, Nigeria,0.5,0.5,0.3,3.9,0.6,0.5,0.4,0.5,0.5,0.5,0.6,0.9,0.9
82, North Macedonia,..,1.7,6.8,3.7,2.1,1.9,1.5,1.9,1.9,2.2,1.6,1.4,1.4
60, Oman,0.6,0.6,0.4,0.1,0,..,..,..,..,..,..,..,..
154, Pakistan,2.2,0.8,0.7,1.2,1.6,1.7,0.9,0.9,1.4,1.3,1,0.7,0.4
50, Palau,..,..,24,11.4,14.3,11.5,6.7,14.8,9,4.6,5.5,7.4,28.2
115," Palestine, State of",..,13.8,14.2,19.6,26.4,21.7,16.5,19.1,17.5,13,15.7,13,13.2
57, Panama,1.6,0.5,0.2,0.2,0.5,0.3,0.1,0,-0.4,0,0,0.1,0.1
155, Papua New Guinea,12,8.2,8.3,5.9,3.9,3.8,3.3,3.4,2.6,2.8,2.6,2.4,3.4
103, Paraguay,..,1.5,1,0.7,0.4,0.2,0.3,0.4,0.2,0.2,0.3,0.4,0.4
79, Peru,1.6,0.8,0.8,0.7,-0.2,0.4,0.2,0.2,0.2,0.2,0.2,0,0.2
107, Philippines,2.6,1.1,0.6,0.5,0.3,-0.1,0,0.1,0.2,0.2,0.1,0,0.1
45, Qatar,0,0,..,..,..,..,..,..,..,..,..,..,..
160, Rwanda,11.3,53.5,18.7,22.4,16.9,18.4,11.6,14.1,12.8,13,13.5,13.8,12
74, Saint Kitts and Nevis,3.8,1.3,1,0.5,1.6,2,2.8,3.6,..,..,..,..,..
86, Saint Lucia,2.4,7.1,1.3,1.1,2.8,2.3,1.7,1.6,1.2,0.8,0.9,0.8,0.4
97, Saint Vincent and the Grenadines,6.7,15.6,1.7,1.5,2.5,2.7,1.2,1.2,1.4,1.8,1.2,1.5,2.2
111, Samoa,40.4,..,..,10,19.3,12.5,16,15.2,12.9,12.1,11.4,16.3,14.6
135, Sao Tome and Principe,..,..,..,24.5,25.3,31.4,20.5,17.6,11.7,15.4,13.5,10.8,10.4
40, Saudi Arabia,0,0,0,0,..,..,..,..,..,..,..,..,..
168, Senegal,11.5,10.8,7.4,6.4,5.8,6,6.1,5.3,5.7,5,3.9,4.4,4.4
64, Serbia,..,..,16.5,3.9,1.6,2.9,2.6,1.7,0.8,0.8,1.6,4.1,2.2
67, Seychelles,10,2.7,4,1.9,5.9,2.4,3.5,2.2,1,0.5,0.4,1.1,..
182, Sierra Leone,10.2,25.9,29.3,21.1,17.6,14.6,11.2,9.2,18.7,22.7,21.2,14.9,13.3
11, Singapore,0,0,..,..,..,..,..,..,..,..,..,..,..
22, Slovenia,..,0.2,0.3,..,..,..,..,..,..,..,..,..,..
151, Solomon Islands,20.1,14.9,15.7,47.4,67,48.8,32.8,27.6,18.2,17,15.1,15,14.5
.., Somalia,61.7,..,..,..,..,..,..,..,..,..,..,..,..
114, South Africa,..,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.3,0.5,0.4,0.3,0.3
185, South Sudan,..,..,..,..,..,5.1,10.3,8,16.4,15.9,..,..,..
72, Sri Lanka,7.7,3.7,1.4,4.3,1,0.9,0.7,0.6,0.6,0.6,0.5,0.4,-0.3
170, Sudan,7.4,1.8,1.9,7.3,3.5,3.2,2.7,2.7,1.4,1.3,1.6,2,4
97, Suriname,15.8,11.1,3.9,2.4,2.4,1.8,0.8,0.6,0.3,0.3,0.6,0.7,0.4
151, Syrian Arab Republic,7.4,3.1,0.9,0.3,..,..,..,..,..,..,..,..,..
125, Tajikistan,..,5.5,13.6,8.5,5.6,3.4,4,3.5,3.2,4.6,4.4,3.9,4.5
163, Tanzania (United Republic of),28.6,17,8,8.3,9.4,7.2,7.2,7.6,5.4,5.6,4.8,5,4.4
79, Thailand,0.9,0.5,0.6,-0.1,0,0,0,0,0.1,0,0.1,0.1,-0.1
141, Timor-Leste,..,..,44.9,21.8,8.7,6,6.6,6.2,7.5,7.6,10,10.2,9
167, Togo,16.2,15.1,4.8,3.7,11.8,13.2,6.3,5.2,4.6,4.6,3.7,7.1,5.5
104, Tonga,23.3,15.5,8.1,12.5,17.4,20.4,16.1,17.6,18,15.5,20.5,19.9,19.1
67, Trinidad and Tobago,0.4,0.5,0,0,0,..,..,..,..,..,..,..,..
95, Tunisia,3.3,0.4,1.1,1.2,1.3,2.1,2.4,1.6,2,1.2,1.6,2.1,2.1
54, Turkey,0.9,0.2,0.1,0.1,0.1,0.4,0.4,0.3,0.4,0.3,0.4,0.4,0.2
111, Turkmenistan,..,1.2,1.3,0.4,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0
.., Tuvalu,..,..,..,24.1,27.3,64.5,51.6,47.6,69,89.2,44.1,45.6,29.3
159, Uganda,15.7,14.6,14.1,13.7,6.5,5.8,6.2,6,5.1,5.2,6.2,6.7,6.1
74, Ukraine,..,..,..,0.5,0.5,0.5,0.4,0.4,1.1,1.6,1.6,1,0.9
55, Uruguay,0.5,0.4,0.1,0.1,0.1,0,0,0.1,0.2,0,0,0.1,..
106, Uzbekistan,..,0.6,1.4,1.2,0.4,0.3,0.4,0.4,0.4,0.5,0.6,1.1,1.1
