HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
86, Ecuador,0.34,1.58,7.21,5.93,3.74,3.38,2.82,2.58,2.43,2.4,2.61,2.73,2.83,3.02
116, Egypt,9.97,5.36,2.86,5.59,5.69,6.07,6.89,6.18,6.41,5.51,5.58,10.51,10.17,8.84
124, El Salvador,7.6,11.93,14.97,20.61,18.82,17.96,18.3,18.04,18.41,18.24,18.86,20,20.63,20.93
145, Equatorial Guinea,..,0.07,..,..,..,..,..,..,..,..,..,..,..,..
180, Eritrea,..,..,0.47,..,..,..,..,..,..,..,..,..,..,..
29, Estonia,..,0.03,0.07,1.81,1.81,1.88,1.99,2.23,2.03,1.98,2.03,1.88,1.84,1.73
138, Eswatini (Kingdom of),10.12,4.84,3.27,3,1.23,1.32,1.81,1.63,2.17,2.35,2.56,3.25,2.67,2.69
173, Ethiopia,0.04,0.36,0.65,1.4,1.46,1.69,1.44,1.75,3.23,1.68,1.04,0.48,0.52,0.55
93, Fiji,1.64,1.66,2.57,6.76,5.59,4.25,4.8,4.86,4.55,5.36,5.46,5.12,5.16,5.18
11, Finland,0.04,0.06,0.38,0.34,0.36,0.28,0.33,0.36,0.33,0.37,0.36,0.34,0.34,0.34
26, France,0.32,0.28,0.65,0.65,0.75,0.8,0.84,0.87,0.89,0.99,0.97,0.97,0.97,0.97
119, Gabon,0.01,0.09,0.12,0.12,0.27,0.12,0.13,0.09,0.16,0.13,0.13,0.12,0.11,0.11
172, Gambia,..,..,..,5.77,7.5,6.48,7.52,7.98,11.21,10.04,14.11,15.23,12.53,15.62
61, Georgia,..,..,6.74,6.96,9.67,10.24,10.74,11.32,11.27,9.76,10.04,11.04,11.56,12.73
6, Germany,0.28,0.17,0.18,0.24,0.38,0.41,0.41,0.44,0.44,0.46,0.44,0.43,0.43,0.43
138, Ghana,0.1,0.27,0.65,0.92,0.42,5.43,5.22,2.99,3.74,10.26,5.42,5.99,5.37,5.26
32, Greece,1.86,2.4,1.69,0.49,0.5,0.41,0.28,0.34,0.31,0.26,0.21,0.2,0.23,0.32
74, Grenada,6.46,5.8,4.66,3.86,3.69,3.72,3.66,3.52,4.5,4.35,4.25,4.2,4.15,3.94
127, Guatemala,1.55,2.44,3.09,11.27,10.22,9.51,9.85,10.01,9.94,10.42,11.15,11.72,12.91,13.89
178, Guinea,0.67,0.02,0.04,1.42,0.68,0.95,0.87,1.11,1.38,1.49,0.61,0.43,0.23,0.21
175, Guinea-Bissau,0.41,0.72,2.17,3.39,5.41,4.74,4.61,6.1,8.77,8.11,4.79,7.79,8.77,9.77
122, Guyana,..,0.27,3.83,24.4,16.18,16,16.4,10.98,10.71,9.47,7.68,9.07,8.6,7.8
170, Haiti,..,..,14.62,22.88,22.25,20.64,20.43,20.99,22.53,25.16,29.59,32.37,32.53,38.52
132, Honduras,1.28,2.32,6.68,18.66,16.53,15.87,15.76,16.75,17.05,17.48,17.79,18.68,19.88,21.52
4," Hong Kong, China (SAR)",..,..,0.08,0.16,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12
40, Hungary,..,0.3,0.77,0.65,1.41,1.63,2.46,3.07,2.99,3.17,3.27,2.91,2.68,2.71
4, Iceland,0.96,0.51,0.4,0.39,0.99,0.99,1.04,1.26,1.2,1.23,0.99,0.76,0.66,0.64
131, India,0.74,1.73,2.75,2.7,3.19,3.43,3.77,3.77,3.45,3.28,2.73,2.6,2.9,2.89
107, Indonesia,0.16,0.32,0.72,1.9,0.92,0.78,0.79,0.83,0.96,1.12,0.96,0.89,1.08,1.04
70, Iran (Islamic Republic of),..,1.66,0.49,0.46,0.24,0.23,0.22,0.29,0.31,0.35,0.32,0.3,..,..
123, Iraq,..,..,..,1.42,0.13,0.12,0.12,0.31,0.31,0.57,0.56,0.56,0.33,0.32
2, Ireland,0.58,0.5,0.25,0.24,0.3,0.32,0.31,0.3,0.28,0.21,0.2,0.18,0.16,0.15
19, Israel,1.38,0.18,0.14,0.26,0.24,0.23,0.27,0.26,0.28,0.28,0.3,0.28,0.25,0.24
29, Italy,0.43,0.19,0.16,0.22,0.37,0.38,0.44,0.44,0.47,0.52,0.51,0.5,0.48,0.52
101, Jamaica,4.98,9.77,9.77,15.72,15.33,14.58,14.64,15.23,16.32,16.64,17.29,16.63,15.92,15.64
19, Japan,..,0.02,0.02,0.02,0.03,0.04,0.04,0.05,0.08,0.08,0.08,0.09,0.09,0.09
102, Jordan,12,18.23,21.51,18.96,13.52,12.6,12.27,15.68,17.53,14.06,11.16,10.89,10.59,10.31
51, Kazakhstan,..,0.57,0.37,0.11,0.15,0.09,0.14,0.14,0.18,0.16,0.28,0.34,0.34,0.28
143, Kenya,1.63,0.97,4.23,2.27,1.71,2.23,2.4,2.37,2.35,2.45,2.52,2.48,3.1,2.95
134, Kiribati,12.92,..,..,..,10.02,9.37,9.27,9.32,9.12,8.21,9.14,9.59,10.15,10.26
23, Korea (Republic of),0.85,0.58,0.79,0.56,0.51,0.53,0.52,0.47,0.44,0.44,0.43,0.4,0.41,0.45
64, Kuwait,..,..,..,..,0,0,0,0,0,0.03,0,0.02,0.02,0.02
120, Kyrgyzstan,..,0.07,0.16,12.73,26.41,27.57,30.75,31.06,30.03,25.27,29.28,32.27,32.51,28.5
137, Lao People's Democratic Republic,1.26,0.02,0.04,0.03,0.59,1.26,1.99,1.43,1.42,1.31,1.2,1.44,1.33,1.57
37, Latvia,..,..,3.18,2.24,5.28,5.29,5.32,5.3,4.95,4.93,4.45,4.21,3.61,3.32
92, Lebanon,..,..,..,22.91,17.98,17.23,15.15,16.13,14.94,14.98,14.85,13.29,12.63,13.99
165, Lesotho,167.43,108.4,53.83,35.63,26.88,24.76,21.95,19.12,15.72,15.63,22.61,24.79,24.43,24.19
175, Liberia,..,..,..,3.36,14.73,21.81,20.1,13.46,16.29,20.6,17.7,12.28,14.09,9.81
105, Libya,..,..,0.02,0.03,..,..,..,..,..,..,..,..,..,..
34, Lithuania,..,0.01,0.43,2.85,4.52,4.5,3.52,4.43,4.36,3.32,2.98,2.73,2.6,2.4
23, Luxembourg,..,3.38,2.72,3.21,3.11,2.96,2.97,3.05,2.81,2.86,2.83,2.93,2.91,2.82
164, Madagascar,0.2,0.24,0.24,1.74,4.57,2.9,2.85,2.88,2.75,2.89,2.52,2.6,3.07,3.08
174, Malawi,..,0.04,0.04,0.62,0.31,0.32,0.47,0.62,0.64,0.65,0.72,1.24,2.63,2.37
62, Malaysia,0.42,0.13,0.36,0.78,0.43,0.41,0.41,0.44,0.47,0.55,0.53,0.52,0.47,0.46
95, Maldives,0.79,0.59,0.35,0.19,0.12,0.11,0.11,0.1,0.09,0.09,0.09,0.09,0.08,0.07
184, Mali,3.99,4.14,2.48,2.84,4.42,6.03,6.65,6.75,6.41,6.23,5.9,5.75,5.95,5.91
28, Malta,2.29,0.44,0.43,3.47,2.62,2.39,2.17,2.42,2.24,2.57,2.17,2.11,1.89,1.78
117, Marshall Islands,..,..,..,16.73,13.7,12.7,12.71,13.08,14.12,14.81,14.13,14.3,14.21,..
157, Mauritania,0.91,0.26,..,..,..,..,..,..,..,..,..,1.14,0.86,0.8
66, Mauritius,..,3.27,3.8,0.01,0.01,0.01,0.01,0.01,2.55,1.91,1.59,1.89,1.73,1.26
74, Mexico,1.19,1.21,1.06,2.59,2.09,1.99,1.93,1.82,1.89,2.24,2.66,2.79,2.93,3.07
136, Micronesia (Federated States of),..,..,..,..,6.08,6.24,6.36,6.95,7.31,7.37,7.02,6.37,5.81,..
90, Moldova (Republic of),..,0.06,13.78,30.62,25.13,21.55,22.81,23.08,21.83,19.89,18.18,16.94,16.04,15.97
99, Mongolia,..,..,0.1,7.01,3.7,2.4,2.63,2.04,2.09,2.22,2.32,2.39,3.36,4.15
48, Montenegro,..,..,..,..,10.05,11.23,12.41,12.21,11.83,11.59,10.99,10.77,10.69,10.63
121, Morocco,6.65,5.05,5.56,7.36,6.89,7.16,6.62,6.44,7.08,6.82,6.18,6.22,5.87,5.67
181, Mozambique,..,2.04,0.66,0.69,1.04,0.9,1.06,0.9,0.88,0.9,0.78,1.95,2.01,1.65
147, Myanmar,..,..,1.15,1.08,0.23,0.21,0.46,2.73,2.85,2.96,3.49,3.74,3.73,3.73
